,Text,f(x),true
160,seigenthaler è stato falsamente presentato come sospettato dell assassinio di john f,0,1
347,ബുഷ്,1,0
379,aceito sua proposta,1,0
380,le diste al clavo,1,0
418,qui accueille  serveursquand ,1,0
532,toestemming,1,0
547,മുന്നോട്ടുപോകുക,1,0
599,interrupting politely,1,0
602,weinig,1,0
626,подойди,1,0
653,запрашивая информацию,1,0
700,முடிக்கிறேன்,1,0
764,كينيدي,1,0
830,gne,1,0
834,دعنى ارى,1,0
899,الاتفاق والاختلاف,1,0
913,pr,1,0
965,اقتراحات,1,0
1061,"per esempio la regola





o
n
io
o
n
s

p
o
t
un
t
o
e
s


⇒


b
tu
r
g
e
r




displaystyle mathrm cipollepatate rightarrow mathrm burger

 trovato nei dati di vendita di un supermercato indicherebbe che se un cliente acquista insieme cipolle e patate è probabile che acquisti anche carne per hamburger",0,1
1146,நீ சாப்பிடு,1,0
1165,ನೀವು ರಾಕ್ ಯು ರಾಕ್,1,0
1167,tanıştığıma memnun oldum,1,0
1196,ನೀವು ಹೇಗಿದ್ದೀರಿ,1,0
1451,no me interesa,1,0
1471,تجنب السؤال,1,0
1665,ഞാൻ വഷളായി,1,0
1696,organizzazioni dei media filosofia wikipedia ˌwɪkɪˈpiːdiə listen wikihpeedeeə o ˌwɪki listen wikee è un enciclopedia online multilingue aperta e collaborativa creata e gestita da una comunità di redattori volontari utilizzando un sistema di editing basato su wiki,0,1
1937,ಈ ರಾತ್ರಿ ನೀನೇನು ಮಾಡುತ್ತಿದ್ದೀಯಾ,1,0
1993,concordando e discordando,1,0
2074,ನಾನು ಹಾಳುಮಾಡಿದೆ,1,0
2144,şeklinde değiştirmiştir,1,0
2162,in  french researchers josé lages of the university of franchecomté in besançon and dima shepelyansky of paul sabatier university in toulouse published a global university ranking based on wikipedia scholarly citations,1,0
2178,jederzeit,1,0
2203,disculparse,1,0
2252,espera un momento,1,0
2297,cuídate,1,0
